wellName,DEPTH,Gamma,Porosity,Fluvialfacies
A10,1541.629,82.950256,0.221838,0
A10,1542.129,81.365021,0.232547,0
A10,1542.629,80.624146,0.253582,0
A10,1543.129,79.560143,0.24473,0
A10,1543.629,77.800262,0.226334,0
A10,1544.129,76.190826,0.232812,0
A10,1544.629,75.002068,0.247232,0
A10,1545.129,76.785156,0.247288,0
A10,1545.629,82.35466,0.242757,0
A10,1546.129,86.284805,0.243773,0
A10,1546.629,86.843201,0.24656,0
A10,1547.129,85.263039,0.233077,0
A10,1547.629,81.938042,0.214399,0
A10,1548.129,79.117104,0.228945,0
A10,1548.629,77.51825,0.254098,0
A10,1549.129,75.644775,0.259103,0
A10,1549.629,73.018806,0.257676,0
A10,1550.129,69.979317,0.278571,0
A10,1550.629,66.634514,0.306592,0
A10,1551.129,65.481483,0.303574,0
A10,1551.629,67.317505,0.290646,0
A10,1552.129,69.82917,0.269893,0
A10,1552.629,72.277832,0.246642,0
A10,1553.129,74.679474,0.253767,0
A10,1553.629,77.0392,0.27059,0
A10,1554.129,79.818054,0.253596,0
A10,1554.629,83.163239,0.225803,0
A10,1555.129,85.634315,0.219271,0
A10,1555.629,86.771347,0.219527,0
A10,1556.129,86.554359,0.228544,0
A10,1556.629,84.976982,0.240358,0
A10,1557.129,83.008965,0.258925,0
A10,1557.629,80.959938,0.279649,0
A10,1558.129,80.552299,0.265363,0
A10,1558.629,82.335991,0.239899,0
A10,1559.129,86.705421,0.2386,0
A10,1559.629,93.78653,0.245016,0
A10,1560.129,101.03632,0.236631,0
A10,1560.629,107.64285,0.22352,0
A10,1561.129,110.9325,0.221674,0
A10,1561.629,110.05161,0.223425,0
A10,1562.129,103.46317,0.234399,0
A10,1562.629,90.676407,0.248318,0
A10,1563.129,82.472366,0.254881,0
A10,1563.629,82.293304,0.259095,0
A10,1564.129,83.275452,0.244072,0
A10,1564.629,83.22728,0.222907,0
A10,1565.129,79.886169,0.220187,2
A10,1565.629,72.529716,0.223356,2
A10,1566.129,67.101524,0.25063,2
A10,1566.629,65.499352,0.2856,2
A10,1567.129,65.473289,0.278713,2
A10,1567.629,66.30497,0.258462,2
A10,1568.129,67.445236,0.248325,2
A10,1568.629,68.718781,0.241417,2
A10,1569.129,68.432579,0.251366,2
A10,1569.629,66.046082,0.266697,2
A10,1570.129,62.948841,0.264243,2
A10,1570.629,59.584518,0.25611,2
A10,1571.129,56.881599,0.267138,2
A10,1571.629,55.136536,0.284284,2
A10,1572.129,56.25145,0.270848,2
A10,1572.629,60.833668,0.247648,2
A10,1573.129,67.345085,0.255753,2
A10,1573.629,75.294594,0.273853,2
A10,1574.129,84.064476,0.267424,2
A10,1574.629,93.457497,0.253164,2
A10,1575.129,97.244682,0.25297,2
A10,1575.629,93.43718,0.257267,2
A10,1576.129,85.800926,0.261818,2
A10,1576.629,75.538345,0.266451,2
A10,1577.129,68.239288,0.26986,2
A10,1577.629,65.68856,0.272878,2
A10,1578.129,66.211563,0.263386,2
A10,1578.629,69.273605,0.2499,1
A10,1579.129,74.008728,0.238758,1
A10,1579.629,80.14045,0.228364,1
A10,1580.129,86.236588,0.225993,1
A10,1580.629,91.839874,0.226184,1
A10,1581.129,95.242744,0.230943,1
A10,1581.629,95.899986,0.23716,1
A10,1582.129,94.425423,0.232871,1
A10,1582.629,91.015022,0.225226,1
A10,1583.129,87.080711,0.231356,1
A10,1583.629,83.07328,0.241883,1
A10,1584.129,80.033913,0.246423,1
A10,1584.629,78.295021,0.24905,1
A10,1585.129,77.703857,0.245088,1
A10,1585.629,78.211639,0.239022,1
A10,1586.129,78.372162,0.237178,1
A10,1586.629,77.723671,0.236683,1
